Japanese,English,Note
ええい‥‥ コシャクなり、トノサマン‥‥！,"Grrah! You have disgraced me for the last time, Steel Samurai!",gs1_010.txt
天空の月が、キサマの血を欲して 泣いておるわ‥‥！,The pale moon in the sky cries for your blood!,gs1_010.txt
今宵の月‥‥よく 目に焼きつけておくがいい。,"The moon? No, it is you who should gaze upon the moon...",gs1_010.txt
おヌシの見る、 最後の満月となろう‥‥！,For it will be the last moon you ever see!,gs1_010.txt
カクゴせいィッ！ アクダイカーン！,"See you in hell, Evil Magistrate!",gs1_010.txt
ぬおおおおおおおおおおおおおッ！,Whoooooooaaaaaaa!,gs1_010.txt
ぐわあああああああああああッ！,Grrrrrraaaaaaaah!,gs1_010.txt
満月だけが知っている、 今宵の勝負の行方！,The warriors' swords gleam and strike in the moonlight!,gs1_010.txt
大地にたおれた戦士は 果たして、どっちだぁッ！,One has fallen... but who? Only the moon knows!,gs1_010.txt
次週『闇の使者、復活！』 ‥‥お楽しみに！,"Don't miss next week's exciting episode: ""The Dark Messenger Returns!""",gs1_010.txt
１０月１４日　午後５時３１分 成歩堂法律事務所,"October 14, 5:31 PM Wright & Co. Law Offices",gs1_010.txt
あー、おもしろかった。,That rocked!,gs1_010.txt
‥‥カクゴせい！ アクダイカーン！,"""See you in Hell, Evil Magistrate!!!""",gs1_010.txt
うわ！ ホウキをふり回すな！,Whoa! Stop waving that broom around!,gs1_010.txt
‥‥あ、いたんだ なるほどくん。,"Oh, Nick! I didn't know you were here!",gs1_010.txt
“いたんだ”じゃない！,Of course I'm here!,gs1_010.txt
なんなんだ、あのシュールな ビジュアルは！,What was that surreal show you were watching?,gs1_010.txt
えーっ！ なるほどくん、知らないのー！,"What!? Nick, you mean, you don't know the Steel Samurai!?",gs1_010.txt
ヤングに絶大な人気のヒーロー、 トノサマンだよ！,He's only the most popular TV hero for young people!,gs1_010.txt
ヤング？ 何才ぐらいのヤングだよ？,"Young...? Like, how young?",gs1_010.txt
‥‥１０才ぐらい？,Umm... 10 years old?,gs1_010.txt
ヤングすぎだよ！ いっしょになってハシャぐな！,Then what the heck are YOU doing getting all excited!?,gs1_010.txt
でも、でも、あたしだってまだ、 １７才だよ。,Hey! I'm only 17!,gs1_010.txt
“てぃーん”だよ。なるほどくん とは違うんだよ、根本的に。,"That's seven-""teen."" See? I'm a teen! Not like you, Nick.",gs1_010.txt
人をジジイみたいに言うな。 ぼくだってまだ２４才だ。,Hey! Don't talk to me like I'm your grandpa or something. I'm only 24 myself.,gs1_010.txt
じゃあ、じゃあ、なるほどくんも いっしょに見ようよ！,Then watch it with me! He's really cool! And... it's really popular!,gs1_010.txt
ホント、カッコイイんだから。 とにかく、すごい人気なんだよ！,,gs1_010.txt
今、小学生の“なりたい職業”の 第１位は《とのさま》だしね。,"When they asked grade school kids what they wanted to be, ""Steel Samurai"" was no.1!",gs1_010.txt
バカな。,I really worry about kids these days.,gs1_010.txt
‥‥ま、それはそれ。,Gramps!,gs1_010.txt
さて。トノサマンも見たし、 そろそろ閉めようか、事務所。,"Well, the Steel Samurai's over. I guess it's time to close up the office.",gs1_010.txt
‥‥いいのかなあ。,I guess...,gs1_010.txt
客、ゼンゼン来ないぞ。,Wish we had some clients!,gs1_010.txt
‥‥あれから、１ヶ月の 時間がながれた。,A month has passed since my trial.,gs1_010.txt
千尋さんの事件は、 かなり世間の話題になったが、,Mia's murder was the talk of the town for some time...,gs1_010.txt
《成歩堂法律事務所》はなぜか、 話題にならなかった。,But no one paid any attention to the Wright & Co. Law Offices...,gs1_010.txt
‥‥どうしよう。 今月の家賃‥‥。,How am I going to pay the rent this month?,gs1_010.txt
だいじょうぶだよ。,It'll be okay.,gs1_010.txt
そろそろ何か、デカい 依頼が来るって！,I'm sure some big client is just around the corner!,gs1_010.txt
‥‥ふう。,Hmph.,gs1_010.txt
１０月１６日　午前　８時１４分 成歩堂　龍一の寝室,"October 16, 8:14 AM Phoenix Wright's Bedroom",gs1_010.txt
プルルル‥‥プルルル‥‥,Brrrrring... Brrrrring...,gs1_010.txt
ピッ,*beep*,gs1_010.txt
‥‥はい、成歩堂です。,H-hello? This is Phoenix.,gs1_010.txt
たっ、たっ、たっ‥‥、 大変だよっ！,N-N-Nick!!!,gs1_010.txt
なんだよ朝っぱらから‥‥。,Maya? What? It's still early...,gs1_010.txt
トッ、トッ、トッ‥‥、 トノサマンがっ！,I-it's the Steel Samurai! The Steel Samurai got arrested!,gs1_010.txt
トノサマンが、 逮捕されちゃったんだよ！,,gs1_010.txt
‥‥は、はあ？ トノサマンが？,Huh? You mean the guy on that show?,gs1_010.txt
そうなの！,Yes!,gs1_010.txt
トノサマン、怪人を やっつけちゃったんだって！,They're saying that the Steel Samurai killed a villain!,gs1_010.txt
‥‥‥‥‥‥。,,gs1_010.txt
それがどうしたんだよ。,Umm...,gs1_010.txt
怪人を倒すのが、 彼の仕事だろ？,Isn't that what he's supposed to do?,gs1_010.txt
それはテレビの話でしょ！,"Yeah, on TV!",gs1_010.txt
そりゃあ、テレビの話だよ。,"Yeah, on TV.",gs1_010.txt
違うの！ ホントにやっちゃったんだよぉ！,"No! I mean, he actually did it! In real life!",gs1_010.txt
トノサマン・スピアーで、怪人を 串刺しにしちゃったんだよぉぉ！,He skewered a villain with his Samurai Spear!,gs1_010.txt
‥‥さっぱりわからん。,I have absolutely no idea what you're talking about.,gs1_010.txt
とにかく、すぐに事務所に 来てぇ！　おねがい！,"Just come to the office, quick! Please, Nick!",gs1_010.txt
ピッ,*beep*,gs1_010.txt
１０月１６日　午前９時２２分 成歩堂法律事務所,"October 16, 9:22 AM Wright & Co. Law Offices",gs1_010.txt
（真宵ちゃんは‥‥いた。 テレビを見ている）,(Maya's here... watching television.),gs1_010.txt
では、次のニュースです。,Now for the morning news.,gs1_010.txt
子供向け人気番組 《大江戸戦士トノサマン》の、,The actor Will Powers was arrested yesterday. Powers plays the lead role,gs1_010.txt
トノサマン役、荷星　三郎 （にぼしさぶろう）が、,"in the popular kid's show ""The Steel Samurai: Warrior of Neo Olde Tokyo.""",gs1_010.txt
殺人容疑で逮捕されていたことが さきほど、あきらかになりました。,He was arrested on suspicion of murder.,gs1_010.txt
被害者は、怪人アクダイカーン役 衣袋　武志（いぶくろたけし）氏。,"The victim was Jack Hammer, who plays the villain known as the ""Evil Magistrate.""",gs1_010.txt
アクダイカーンの着ぐるみの中から 死体で発見されました。,His body was found still inside the Evil Magistrate costume.,gs1_010.txt
死体には“トノサマン・スピアー” が突き刺さっており、,"The ""Samurai Spear"" was also found stuck through the body.",gs1_010.txt
警察では、これを凶器と考えて 捜査を進めているようです。,"Police believe this was the murder weapon, and are investigating further.",gs1_010.txt
‥‥‥‥。,,gs1_010.txt
なんか、 冗談みたいな事件だね。,This has to be a joke.,gs1_010.txt
ううう、悪夢だ。 この世の終わりだぁ‥‥。,"No, no, no! It's a nightmare! The Steel Samurai is over! The world is over!",gs1_010.txt
プルルル‥‥プルルル‥‥,Brrrrring... Brrrrring...,gs1_010.txt
ピッ,*beep*,gs1_010.txt
はい‥‥。 成歩堂法律事務所です。,Yes... Wright & Co. Law Offices.,gs1_010.txt
えっ！,What!?,gs1_010.txt
なるほどくん！,Nick!,gs1_010.txt
ト‥‥トノサマンから電話が！,I-it's the Steel Samurai!,gs1_010.txt
な、なにぃ！,W-what!?,gs1_010.txt
はい‥‥はい‥‥ ‥‥すぐ、うかがいます！,"Yes... yes, of course! We'll be right there!",gs1_010.txt
ピッ,*beep*,gs1_010.txt
行こう！　なるほどくん。,"Let's go, Nick!",gs1_010.txt
ど、どこへ？,Go? Go where?,gs1_010.txt
トノサマン、留置所に つかまってるんだって！,They have the Steel Samurai down in detention!,gs1_010.txt
,So what!?,gs1_010.txt
この事件、あたしたちの初仕事に 決めたからね！,"So, I've decided this will be our first case!",gs1_010.txt
千尋さんのお気に入りだった 観葉植物だ。,Mia's favorite potted plant.,gs1_010.txt
最近は、真宵ちゃんがさんざん 水をやるので、ふやけぎみだ。,Maya has been watering it so much lately it looks a little... swollen.,gs1_010.txt
かわいがっているつもりらしいが、 “水責め”に見えないこともない。,She's either trying to make it grow... or she's perfecting her water torture technique.,gs1_010.txt
法律関係のムズカシイ本が イヤというほど並んでいる。,There's a horrendous amount of legal books here.,gs1_010.txt
